下单日期,发货日期,到库日期,退回日期,特殊标识,特殊描述,价格,睿配编码,数量,仓库编码
,,,,正常入库,,,LTMIC00041,2,SNP09000002
,,,,正常入库,,,LTMIC00041,2,SNP09000005
,,,,正常入库,,,LTMIC00041,2,SNP09000010
,,,,正常入库,,,LTMIC00043,2,SNP09000001
,,,,正常入库,,,LTMIC00043,2,SNP09000002
,,,,正常入库,,,LTMIC00043,2,SNP09000003
,,,,正常入库,,,LTMIC00043,2,SNP09000004
,,,,正常入库,,,LTMIC00043,2,SNP09000005
,,,,正常入库,,,LTMIC00043,2,SNP09000006
,,,,正常入库,,,LTMIC00043,2,SNP09000007
,,,,正常入库,,,LTMIC00043,2,SNP09000008
,,,,正常入库,,,LTMIC00043,2,SNP09000009
,,,,正常入库,,,LTMIC00043,2,SNP09000010
,,,,正常入库,,,LTMIC00044,2,SNP09000001
,,,,正常入库,,,LTMIC00044,2,SNP09000010
,,,,正常入库,,,LTMIC00045,2,SNP09000001
,,,,正常入库,,,LTMIC00045,2,SNP09000005
,,,,正常入库,,,LTMIC00045,2,SNP09000006
,,,,正常入库,,,LTMIC00046,2,SNP09000002
,,,,正常入库,,,LTMIC00046,2,SNP09000003
,,,,正常入库,,,LTMIC00050,2,SNP09000002
,,,,正常入库,,,LTMIC00050,2,SNP09000004
,,,,正常入库,,,LTMIC00050,2,SNP09000008
,,,,正常入库,,,LTMIC00051,2,SNP09000001
,,,,正常入库,,,LTMIC00051,2,SNP09000010
,,,,正常入库,,,LTMIC00053,2,SNP09000004
,,,,正常入库,,,LTMIC00053,2,SNP09000006
,,,,正常入库,,,LTMIC00053,2,SNP09000008
,,,,正常入库,,,LTMIC00053,2,SNP09000009
,,,,正常入库,,,LTMIC00055,2,SNP09000003
,,,,正常入库,,,LTMIC00055,2,SNP09000005
,,,,正常入库,,,LTMIC00055,2,SNP09000007
,,,,正常入库,,,LTMIC00055,2,SNP09000010
,,,,正常入库,,,LTMIC00064,2,SNP09000001
,,,,正常入库,,,LTMIC00064,2,SNP09000002
,,,,正常入库,,,LTMIC00064,2,SNP09000003
,,,,正常入库,,,LTMIC00064,2,SNP09000004
,,,,正常入库,,,LTMIC00064,2,SNP09000005
,,,,正常入库,,,LTMIC00064,2,SNP09000006
,,,,正常入库,,,LTMIC00064,2,SNP09000007
,,,,正常入库,,,LTMIC00064,2,SNP09000008
,,,,正常入库,,,LTMIC00064,2,SNP09000009
,,,,正常入库,,,LTMIC00064,2,SNP09000010
,,,,正常入库,,,LTMIC00094,2,SNP09000005
,,,,正常入库,,,LTMIC00094,2,SNP09000006
,,,,正常入库,,,LTMIC00094,2,SNP09000007
,,,,正常入库,,,LTMIC00114,2,SNP09000003
,,,,正常入库,,,LTMIC00114,2,SNP09000004
,,,,正常入库,,,LTMIC00114,2,SNP09000005
,,,,正常入库,,,LTMIC00118,2,SNP09000002
,,,,正常入库,,,LTMIC00118,2,SNP09000003
,,,,正常入库,,,LTMIC00120,2,SNP09000001
,,,,正常入库,,,LTMIC00120,2,SNP09000002
,,,,正常入库,,,LTMIC00120,2,SNP09000003
,,,,正常入库,,,LTMIC00123,2,SNP09000007
,,,,正常入库,,,LTMIC00123,2,SNP09000008
,,,,正常入库,,,LTMIC00123,2,SNP09000009
,,,,正常入库,,,LTMIC00126,2,SNP09000006
,,,,正常入库,,,LTMIC00126,2,SNP09000007
,,,,正常入库,,,LTMIC00127,2,SNP09000001
,,,,正常入库,,,LTMIC00127,2,SNP09000010
,,,,正常入库,,,LTMIC00128,2,SNP09000002
,,,,正常入库,,,LTMIC00128,2,SNP09000008
,,,,正常入库,,,LTMIC00128,2,SNP09000009
,,,,正常入库,,,LTMIC00129,2,SNP09000009
,,,,正常入库,,,LTMIC00129,2,SNP09000010
,,,,正常入库,,,LTMIC00135,2,SNP09000006
,,,,正常入库,,,LTMIC00135,2,SNP09000007
,,,,正常入库,,,LTMIC00135,2,SNP09000008
,,,,正常入库,,,LTMIC00144,4,SNP09000002
,,,,正常入库,,,LTMIC00181,2,SNP09000003
,,,,正常入库,,,LTMIC00181,2,SNP09000004
,,,,正常入库,,,LTMIC00196,2,SNP09000004
,,,,正常入库,,,LTMIC00196,2,SNP09000005
,,,,正常入库,,,LTMIC00197,2,SNP09000002
,,,,正常入库,,,LTMIC00206,2,SNP09000009
,,,,正常入库,,,LTMIC00206,2,SNP09000010
